x,y,c
1113,209,10
961,351,10
1180,564,10
712,509,10
721,407,10
711,437,10
853,347,10
933,245,10
1041,448,10
1161,286,10
826,485,10
749,170,10
916,327,10
1166,465,10
1153,285,10
926,166,10
1095,201,10
758,531,10
750,446,10
861,223,10
877,242,10
1182,534,10
1080,452,10
1176,471,10
964,168,10
781,478,10
887,195,10
859,182,10
864,245,10
920,446,10
783,158,10
831,241,10
884,366,10
852,185,10
705,511,10
945,509,10
1153,272,10
1135,117,10
769,547,10
1023,106,10
1098,149,10
942,594,10
975,119,10
1153,505,10
1053,387,10
799,515,10
749,472,10
824,122,10
1190,331,10
1012,186,10
961,560,10
708,207,10
946,191,10
969,418,10
765,289,10
1006,395,10
1165,377,10
921,582,10
808,216,10
1187,579,10
926,341,10
756,468,10
1133,338,10
1009,374,10
983,103,10
985,493,10
820,454,10
911,283,10
790,246,10
1169,502,10
1170,378,10
1023,205,10
908,594,10
954,474,10
953,310,10
813,303,10
1154,268,10
983,352,10
871,594,10
813,167,10
876,530,10
734,133,10
773,287,10
775,375,10
1137,319,10
786,103,10
907,166,10
775,351,10
736,170,10
1073,292,10
1193,167,10
920,256,10
1194,179,10
989,342,10
1040,516,10
862,298,10
1075,347,10
1009,401,10
1156,275,10
1026,165,10
932,368,10
991,230,10
993,301,10
705,480,10
991,199,10
722,578,10
1068,540,10
1162,293,10
874,565,10
1062,502,10
981,132,10
791,482,10
1107,276,10
787,556,10
832,193,10
974,294,10
988,249,10
903,584,10
1086,577,10
847,400,10
1150,383,10
903,181,10
874,294,10
972,159,10
892,241,10
745,277,10
851,144,10
751,100,10
780,129,10
1142,215,10
1094,265,10
1184,522,10
937,128,10
877,174,10
1013,210,10
1056,282,10
727,569,10
1102,142,10
1046,175,10
775,412,10
1050,373,10
933,392,10
1091,593,10
1126,300,10
1093,141,10
1148,393,10
830,305,10
1161,156,10
1110,489,10
1090,380,10
1086,158,10
1034,574,10
1027,374,10
863,393,10
1080,187,10
985,542,10
805,595,10
1087,119,10
1032,512,10
940,166,10
1200,263,10
1189,215,10
774,206,10
901,406,10
756,290,10
1080,311,10
1067,454,10
813,459,10
846,234,10
853,328,10
863,465,10
989,191,10
950,230,10
984,497,10
721,481,10
1158,203,10
869,423,10
924,488,10
876,565,10
703,600,10
1078,261,10
766,434,10
1113,470,10
1171,240,10
901,526,10
1129,204,10
828,478,10
1172,450,10
894,360,10
1163,475,10
1070,440,10
949,550,10
1106,180,10
1140,414,10
937,309,10
811,151,10
1021,383,10
1077,593,10
900,295,10
798,103,10
939,526,10
892,530,10
708,466,10
1199,165,10
950,473,10
819,419,10
839,337,10
1195,580,10
863,201,10
778,186,10
767,412,10
1050,200,10
789,556,10
914,199,10
974,114,10
1132,441,10
1086,565,10
735,202,10
826,323,10
810,546,10
1200,313,10
1072,492,10
902,480,10
910,196,10
991,172,10
1073,346,10
1045,555,10
1063,462,10
1025,544,10
1169,517,10
968,578,10
833,270,10
870,389,10
923,167,10
935,197,10
732,458,10
916,285,10
852,520,10
1062,341,10
1106,422,10
782,405,10
753,388,10
841,273,10
1010,125,10
1062,360,10
899,407,10
1149,454,10
731,214,10
804,504,10
1125,412,10
1125,334,10
1106,113,10
1026,371,10
713,562,10
719,398,10
1031,281,10
724,295,10
807,131,10
1039,344,10
1194,419,10
1174,588,10
1174,593,10
738,215,10
948,118,10
964,471,10
1096,334,10
1160,299,10
871,245,10
702,576,10
967,152,10
784,432,10
892,302,10
1030,572,10
731,337,10
1074,391,10
1104,252,10
754,167,10
1088,318,10
786,124,10
936,165,10
910,588,10
958,231,10
1112,161,10
806,260,10
864,398,10
1123,356,10
1066,201,10
1158,515,10
743,401,10
1131,442,10
732,238,10
1151,461,10
896,219,10
805,572,10
932,537,10
1100,544,10
1128,458,10
824,256,10
969,319,10
904,501,10
1052,303,10
1106,484,10
733,534,10
918,245,10
1116,139,10
989,157,10
984,588,10
769,521,10
1033,585,10
986,420,10
730,348,10
798,113,10
942,378,10
776,460,10
1178,146,10
1153,385,10
827,514,10
1074,504,10
765,263,10
1054,195,10
1117,593,10
1170,294,10
1005,357,10
1120,146,10
729,503,10
888,354,10
863,116,10
932,248,10
1015,130,10
1125,329,10
870,436,10
1111,286,10
1024,112,10
967,530,10
1029,160,10
714,175,10
728,554,10
1021,337,10
987,544,10
1128,598,10
983,149,10
796,525,10
1144,558,10
1177,351,10
720,187,10
1162,349,10
740,314,10
1046,228,10
731,475,10
935,525,10
775,398,10
909,576,10
747,108,10
825,265,10
978,470,10
964,141,10
996,378,10
1018,239,10
938,293,10
946,139,10
1178,202,10
1058,482,10
700,110,10
1167,363,10
1110,575,10
875,513,10
1020,412,10
728,352,10
944,449,10
1151,298,10
1198,564,10
1170,225,10
1175,249,10
948,414,10
956,130,10
873,264,10
822,173,10
948,345,10
916,285,10
932,553,10
1133,527,10
815,217,10
1010,329,10
788,311,10
1010,404,10
840,202,10
972,103,10
1124,456,10
947,209,10
899,108,10
834,323,10
1002,212,10
975,515,10
964,382,10
907,230,10
841,235,10
730,330,10
730,511,10
789,238,10
1046,220,10
976,386,10
815,422,10
1041,328,10
780,458,10
884,314,10
769,258,10
987,479,10
764,186,10
897,158,10
761,502,10
980,206,10
948,533,10
1039,508,10
1062,495,10
715,426,10
839,182,10
728,189,10
1157,583,10
785,180,10
1046,284,10
789,297,10
862,524,10
1198,483,10
1067,495,10
884,240,10
1067,298,10
1028,274,10
703,439,10
888,196,10
785,182,10
929,195,10
1121,451,10
975,488,10
880,108,10
765,168,10
847,181,10
1175,159,10
762,391,10
1157,223,10
721,397,10
781,108,10
772,237,10
827,374,10
923,545,10
995,203,10
920,523,10
1184,104,10
1089,570,10
931,403,10
1195,468,10
1131,501,10
936,377,10
719,586,10
1179,562,10
746,535,10
1173,551,10
1192,333,10
1062,138,10
1017,152,10
930,597,10
824,449,10
929,122,10
789,408,10
736,128,10
1176,437,10
890,353,10
1049,426,10
789,560,10
1044,172,10
885,374,10
1089,525,10
1098,473,10
1037,373,10
1014,262,10
1091,326,10
911,154,10
805,390,10
1053,341,10
958,256,10
918,402,10
1017,230,10
761,552,10
1124,234,10
1029,280,10
1043,295,10
722,127,10
1112,477,10
1159,121,10
888,349,10
1045,368,10
910,385,10
1173,416,10
846,515,10
1154,212,10
987,345,10
775,109,10
864,109,10
1048,158,10
768,388,10
963,255,10
928,528,10
999,185,10
1076,297,10
1140,451,10
1200,448,10
863,578,10
755,164,10
988,362,10
921,119,10
740,516,10
950,289,10
716,363,10
976,285,10
721,423,10
1196,130,10
989,356,10
842,283,10
1158,554,10
1001,417,10
715,391,10
766,434,10
890,533,10
752,187,10
1096,385,10
929,533,10
1191,137,10
708,123,10
1149,362,10
809,399,10
862,314,10
741,537,10
1134,262,10
708,346,10
940,348,10
946,295,10
1011,520,10
809,371,10
996,437,10
821,154,10
1124,278,10
876,516,10
975,121,10
1030,240,10
706,215,10
909,105,10
1153,173,10
842,412,10
803,125,10
840,261,10
1053,283,10
971,123,10
1002,111,10
839,191,10
827,116,10
913,416,10
1076,362,10
1165,417,10
1063,233,10
1189,391,10
891,176,10
1006,280,10
1115,474,10
809,331,10
1028,392,10
742,506,10
959,348,10
870,207,10
930,136,10
843,404,10
866,121,10
1121,595,10
836,525,10
1099,504,10
942,258,10
1003,133,10
714,504,10
736,549,10
1129,195,10
938,220,10
1153,197,10
956,344,10
936,386,10
780,442,10
1060,242,10
858,186,10
770,155,10
715,568,10
1087,242,10
788,170,10
910,390,10
901,407,10
1001,559,10
1608,225,0
1380,195,0
1783,469,0
1622,256,0
1739,248,0
1725,472,0
1302,404,0
1725,333,0
1701,581,0
1565,594,0
1685,306,0
1312,551,0
1303,528,0
1717,265,0
1385,110,0
1646,346,0
1570,381,0
1677,361,0
1486,545,0
1796,345,0
1456,419,0
1563,449,0
1737,382,0
1723,292,0
1741,163,0
1593,325,0
1422,465,0
1406,108,0
1597,407,0
1540,276,0
1557,280,0
1400,387,0
1770,363,0
1377,546,0
1504,156,0
1514,357,0
1487,274,0
1496,554,0
1517,417,0
1571,341,0
1628,505,0
1419,169,0
1433,193,0
1365,600,0
1628,370,0
1665,428,0
1362,180,0
1393,521,0
1741,406,0
1346,280,0
1368,481,0
1735,108,0
1570,234,0
1607,216,0
1397,537,0
1394,381,0
1379,472,0
1390,259,0
1506,487,0
1734,303,0
1757,109,0
1715,111,0
1444,338,0
1630,255,0
1519,410,0
1357,109,0
1442,176,0
1458,214,0
1505,219,0
1701,144,0
1362,493,0
1415,435,0
1445,549,0
1446,134,0
1652,109,0
1686,190,0
1538,238,0
1781,143,0
1451,366,0
1552,243,0
1343,536,0
1388,286,0
1697,382,0
1756,293,0
1597,123,0
1707,157,0
1764,562,0
1517,106,0
1701,335,0
1792,234,0
1530,532,0
1467,310,0
1408,115,0
1754,263,0
1587,350,0
1352,553,0
1469,507,0
1394,424,0
1758,471,0
1538,447,0
1374,127,0
1405,239,0
1369,468,0
1334,550,0
1381,522,0
1648,151,0
1648,185,0
1674,294,0
1607,259,0
1767,382,0
1764,344,0
1370,499,0
1761,408,0
1741,388,0
1359,534,0
1574,181,0
1383,149,0
1545,556,0
1763,133,0
1487,248,0
1736,476,0
1363,222,0
1387,462,0
1373,256,0
1317,108,0
1759,521,0
1302,289,0
1602,338,0
1429,292,0
1400,287,0
1592,211,0
1331,148,0
1458,216,0
1542,344,0
1730,578,0
1415,344,0
1602,248,0
1384,222,0
1651,482,0
1660,118,0
1759,300,0
1546,522,0
1448,363,0
1678,526,0
1475,359,0
1476,127,0
1331,237,0
1652,410,0
1357,149,0
1500,448,0
1608,532,0
1522,497,0
1597,574,0
1632,463,0
1688,587,0
1533,136,0
1738,485,0
1791,144,0
1718,486,0
1745,342,0
1310,443,0
1760,193,0
1663,443,0
1400,384,0
1467,504,0
1312,276,0
1529,273,0
1304,114,0
1321,327,0
1383,293,0
1553,453,0
1314,528,0
1671,230,0
1491,266,0
1751,555,0
1759,327,0
1423,306,0
1674,226,0
1714,274,0
1387,304,0
1707,198,0
1760,510,0
1554,560,0
1397,567,0
1443,116,0
1707,420,0
1791,177,0
1524,477,0
1575,334,0
1548,349,0
1628,525,0
1378,321,0
1579,532,0
1420,210,0
1789,559,0
1386,208,0
1370,165,0
1581,208,0
1785,409,0
1461,286,0
1519,439,0
1434,469,0
1406,540,0
1639,509,0
1503,330,0
1667,198,0
1601,308,0
1327,347,0
1744,424,0
1420,327,0
1704,342,0
1713,462,0
1641,308,0
1451,298,0
1588,415,0
1442,185,0
1352,272,0
1467,171,0
1406,118,0
1309,451,0
1374,572,0
1441,275,0
1622,310,0
1415,267,0
1484,452,0
1345,498,0
1582,391,0
1485,359,0
1553,241,0
