x,y,cluster
51.7541,98.9382,0
31.4908,16.2399,7
12.671,51.383,4
91.1391,9.52952,6
96.6506,45.627,9
16.8064,98.107,8
61.8851,55.3269,5
82.1617,6.69101,6
93.4705,58.7258,9
75.3797,26.6284,6
93.8694,76.1617,2
90.4197,97.7702,2
27.7122,64.1607,4
75.8056,1.66193,6
77.2632,48.896,9
18.4347,29.0172,3
47.8342,49.9255,5
45.2572,60.5053,5
1.30854,36.3962,4
70.0348,97.9591,2
82.0233,86.8412,2
96.0661,43.9084,9
42.1681,78.2278,0
50.5995,35.6386,5
36.9536,25.9792,7
62.267,30.823,1
2.14086,52.6868,4
28.5932,29.8531,7
16.8475,4.3988,3
31.515,94.1106,0
53.2948,49.9498,5
23.1279,1.12907,3
99.8753,68.3851,9
61.6344,1.18385,1
4.78132,31.6692,3
99.143,86.8046,2
18.5103,95.2091,8
30.7131,60.6784,4
73.4369,81.3125,2
96.317,10.3905,6
7.29171,58.5841,4
41.2135,9.43257,7
11.2708,69.8067,8
39.2857,28.1183,7
74.2055,70.8007,2
22.2289,27.5003,3
20.7504,45.3568,4
28.6294,20.6258,7
13.7419,90.2638,8
21.8096,18.5232,3
21.9329,20.9526,3
5.32781,40.4433,4
16.1616,36.0409,4
1.12169,89.5985,8
17.3534,97.4387,8
99.989,24.6451,6
56.0228,41.2025,5
34.0777,67.2936,0
11.0092,73.3633,8
95.4119,85.2147,2
44.164,17.6408,7
12.715,64.9145,4
62.9976,41.3444,5
85.5402,76.7395,2
31.6082,7.3498,7
95.2627,53.5411,9
28.3024,0.590472,7
93.9844,44.464,9
36.6313,95.1061,0
34.0625,53.9847,4
92.5448,34.0515,6
78.6298,48.5676,9
75.254,12.7075,6
15.8612,86.2632,8
86.0708,11.2731,6
71.4779,30.2348,1
28.9139,84.1929,8
95.1492,91.9115,2
25.5374,80.6894,8
68.6509,57.1456,9
88.0392,63.9136,9
10.6867,16.3416,3
64.5041,4.67113,1
60.8056,1.13541,1
99.7772,94.8681,2
55.1201,92.322,0
28.9197,33.7499,7
40.8896,4.17371,7
46.4574,56.7509,5
90.4369,32.5282,6
68.0239,61.9148,9
62.763,96.9378,0
46.1078,57.9122,5
88.8493,71.6452,2
38.6016,57.5002,5
28.7908,26.6409,7
21.4138,39.4775,4
42.9825,85.9179,0
44.1486,3.78809,7
87.0533,43.9259,9
98.6562,42.1734,9
36.2479,27.5759,7
75.9234,77.1376,2
31.7496,22.3807,7
33.8884,22.1866,7
54.9089,1.91236,1
84.1014,17.6719,6
98.8502,30.2092,6
75.5841,87.6995,2
1.8544,14.1857,3
45.1997,30.6452,7
40.8266,66.6135,0
70.1227,83.8091,2
52.5314,14.2713,1
87.5972,39.5848,9
58.1972,86.2534,0
81.7582,94.4451,2
13.8293,57.6816,4
71.5827,45.579,9
80.0623,5.47109,6
67.7655,34.9712,1
7.38345,51.8669,4
52.6431,6.23364,1
82.0762,28.2271,6
93.9331,83.9306,2
42.4128,39.1328,5
14.5757,83.2394,8
5.74635,84.6984,8
67.0485,58.2778,5
98.9698,54.6456,9
97.8626,57.167,9
40.899,79.6208,0
51.6121,54.7283,5
37.3023,23.1948,7
0.307294,17.3646,3
28.6659,68.0728,4
52.3358,36.0493,5
19.9398,4.97886,3
42.283,2.01592,7
33.206,36.2161,7
85.9465,75.6188,2
75.3489,0.522198,1
58.8582,81.0952,0
85.2206,25.9066,6
39.373,84.1904,0
80.5522,37.2356,9
41.3574,21.4513,7
16.8564,92.9695,8
76.1796,54.1587,9
16.1643,76.4869,8
71.5233,44.8302,9
44.5597,23.8591,7
80.8795,64.4995,9
28.8379,23.1625,7
66.5154,62.0439,5
59.3786,52.4619,5
37.6627,34.7274,7
52.9841,96.5209,0
15.8227,38.2047,4
22.4275,55.1957,4
22.3951,2.97975,3
92.4313,63.7525,9
24.431,9.28768,3
56.722,0.610606,1
63.4463,72.8863,0
77.0975,34.9696,9
17.7165,21.6572,3
58.8287,98.596,0
86.1567,87.6667,2
21.7585,52.6721,4
49.7106,81.1371,0
5.13392,87.3733,8
15.8645,58.118,4
83.8941,31.6872,6
96.3227,6.32165,6
86.8829,18.7177,6
9.3014,79.3143,8
82.4702,33.7324,6
88.6019,39.1922,9
34.343,52.0483,5
12.0786,11.4405,3
87.0179,29.7951,6
33.0977,45.8466,4
28.3911,19.2544,7
33.5133,50.1496,4
71.9265,83.2238,2
31.2866,77.0604,0
70.5971,47.1512,9
35.1784,54.4913,5
78.8384,31.501,6
60.8129,65.7213,5
50.2188,70.1143,0
45.0356,32.689,7
3.84672,33.6375,3
71.8813,38.1897,9
85.6858,83.9598,2
49.6302,72.7037,0
13.7549,82.728,8
18.5503,42.146,4
1.98236,52.0636,4
92.2955,73.9088,2
35.2874,23.5822,7
50.9692,5.88455,1
70.7334,86.1476,2
60.3758,49.5717,5
17.6486,21.1887,3
15.293,67.8674,4
91.3031,60.3286,9
0.55639,95.1498,8
93.9661,72.4376,2
33.3395,79.6518,0
56.3975,82.9698,0
52.3555,70.1523,0
65.6977,70.9058,2
12.2983,67.6801,4
22.9694,4.59384,3
41.5889,58.2568,5
28.176,92.5581,8
64.1414,98.9094,2
78.7057,24.5172,6
48.4811,96.3543,0
45.706,63.7741,5
64.2217,37.009,5
24.1027,64.7781,4
32.1588,18.0687,7
37.2157,65.4983,0
97.7206,93.6132,2
48.4681,50.0761,5
63.7655,14.1658,1
20.9819,76.0638,8
81.8459,43.9513,9
80.6577,23.4348,6
2.20818,8.83371,3
15.9929,66.3496,4
7.74309,94.6986,8
90.8668,56.2242,9
91.0529,36.5728,9
19.9983,55.2746,4
73.5818,44.101,9
20.0527,5.74057,3
62.1697,57.2684,5
71.2389,59.8903,9
50.8816,19.7069,1
9.9664,14.6472,3
33.8727,30.9483,7
90.711,15.7186,6
74.8997,71.3687,2
39.1534,77.1078,0
80.2024,55.1463,9
43.4574,87.9455,0
49.8449,34.3242,5
44.1696,40.8978,5
70.897,64.168,9
96.1724,44.4788,9
8.26895,16.2251,3
50.2194,70.4387,0
73.4935,21.4582,1
30.329,24.3751,7
41.1652,40.2954,5
39.0223,75.0379,0
71.2437,29.7333,1
90.7565,46.1434,9
1.10193,29.9098,3
23.2512,81.3043,8
85.0561,66.7086,9
69.2497,34.9009,1
1.03285,13.4194,3
75.7987,71.9299,2
77.5873,71.9711,2
16.4086,85.8563,8
88.1962,66.628,9
56.295,61.6897,5
88.0862,86.6239,2
86.0649,29.2514,6
26.9193,25.0872,7
4.28929,98.163,8
54.8204,95.0458,0
44.3064,55.9224,5
24.9556,67.5576,4
37.2267,10.0117,7
34.2662,6.4764,7
44.9126,35.299,7
19.8958,20.7113,3
7.22887,97.4831,8
92.6824,23.6375,6
83.3394,80.8787,2
90.2655,39.6344,9
42.5684,78.3517,0
26.2583,28.6332,7
7.60314,53.1777,4
53.7204,11.8924,1
51.3407,8.54084,1
6.9382,95.647,8
64.4632,31.8938,1
63.2046,1.68987,1
41.9055,97.4708,0
8.16627,86.8181,8
32.7698,28.0621,7
7.52942,39.9987,4
25.5452,0.211861,3
63.6362,8.88462,1
81.0905,53.9017,9
48.519,23.6589,7
32.2534,74.7774,0
52.2921,39.8566,5
27.955,6.01254,7
51.749,79.2957,0
14.5534,58.6872,4
74.9427,79.0166,2
90.581,38.1473,9
80.7065,32.4865,6
35.6181,88.8727,0
19.3045,68.3878,4
16.9348,26.834,3
8.38648,42.48,4
27.0458,72.0226,8
51.3646,8.13632,1
25.9243,99.8836,8
31.7952,58.1777,4
74.661,84.0873,2
98.0343,2.61597,6
90.0999,49.7833,9
81.9116,4.65326,6
8.4705,56.8544,4
83.6699,99.0515,2
95.0016,64.3763,9
31.5379,30.6197,7
53.249,50.8425,5
99.0075,70.1838,2
77.6764,7.39401,6
12.6638,4.72224,3
79.4167,64.0284,9
12.8586,5.34098,3
63.912,44.6538,5
63.5187,38.573,5
28.7411,61.553,4
41.1889,18.841,7
11.3363,23.1006,3
23.4943,19.8068,3
79.9549,7.16411,6
18.8583,74.9566,8
71.5404,50.3962,9
5.57627,24.7895,3
1.23873,4.58379,3
94.9733,78.9152,2
11.9778,7.63705,3
83.6374,91.3945,2
71.6654,96.496,2
96.7354,35.5774,6
41.1497,60.2542,5
74.1504,69.8909,2
21.8072,15.3393,3
88.7319,33.1435,6
38.4399,12.2261,7
52.9503,18.3948,1
19.3902,71.8086,8
93.3513,90.9306,2
22.2049,98.9276,8
15.7201,23.4436,3
3.5114,10.6934,3
2.35878,15.4892,3
18.3304,85.9962,8
6.88367,89.9958,8
82.4921,3.61912,6
25.5733,23.6419,7
63.8733,99.7236,2
93.5327,85.6805,2
15.0629,82.2646,8
18.824,53.5028,4
94.4907,71.7743,2
71.8976,13.8809,1
43.583,65.2489,5
4.81156,65.7879,4
64.1765,20.5317,1
89.2315,67.6879,9
31.225,91.5903,0
83.1771,49.5554,9
77.5864,90.0608,2
39.5513,60.0786,5
93.6799,65.1245,9
83.7204,57.5532,9
64.8482,77.2532,2
43.2337,79.9111,0
59.5178,62.0577,5
33.4139,54.0085,4
33.832,5.31142,7
67.8894,77.415,2
70.5603,72.7009,2
43.2028,34.7368,7
93.2326,32.4343,6
2.42474,24.4576,3
24.0246,85.6019,8
74.013,1.61102,1
75.6627,13.5643,6
61.6896,69.3426,0
78.6888,45.41,9
26.8958,43.537,4
22.6632,70.1294,8
23.448,82.181,8
32.1871,56.8619,4
36.1894,66.0191,0
62.1733,4.07883,1
43.4341,32.7336,7
76.7798,86.6369,2
67.4705,70.0124,2
19.0712,69.8952,8
94.47,43.0958,9
55.4971,68.483,0
44.7068,31.1597,7
82.0473,6.39642,6
0.502303,60.7361,4
51.8065,27.3981,1
4.27301,74.4697,8
97.5275,27.721,6
56.6507,29.7146,1
84.5829,92.8401,2
95.7337,46.7563,9
96.9189,39.1678,9
79.4899,73.6987,2
25.8047,46.9604,4
43.7111,44.8759,5
16.8556,38.181,4
87.9717,72.3526,2
6.66401,32.6786,3
3.51237,88.7113,8
39.075,4.01468,7
49.4473,90.8815,0
31.4127,53.7203,4
65.3511,28.9403,1
81.4414,22.0018,6
58.6549,66.0243,5
14.8419,54.3886,4
12.7806,11.7609,3
93.5564,92.2704,2
85.4596,19.3611,6
39.2308,29.1707,7
64.2371,56.0864,5
67.3517,52.2088,5
28.439,74.0157,8
84.8874,31.9514,6
62.727,23.9624,1
35.9661,12.1743,7
14.8438,67.3788,4
65.8946,80.195,2
96.3191,47.336,9
2.19681,54.974,4
13.3603,17.0388,3
9.36259,26.1409,3
28.7997,2.91902,7
18.4113,14.2593,3
22.2802,57.6421,4
43.4299,86.5172,0
13.7285,10.7817,3
38.7261,42.1675,5
84.7974,23.6134,6
74.1189,47.5244,9
47.5758,10.0849,7
59.6987,62.4196,5
77.4637,25.5933,6
42.6146,73.7828,0
72.9293,44.8114,9
28.7567,86.2896,8
61.8502,38.1193,5
12.4305,90.6498,8
41.0384,30.8418,7
4.9091,63.3185,4
88.4839,48.339,9
49.8358,2.21236,1
59.1207,88.5618,0
44.3798,43.9181,5
12.1753,18.4987,3
91.4424,59.7511,9
28.5836,51.1411,4
22.1708,6.04732,3
76.7344,64.7854,9
79.8301,49.6637,9
9.59682,8.58685,3
35.9534,71.447,0
46.7062,48.3839,5
62.0968,87.7445,0
79.2257,67.0059,9
51.0631,67.7095,0
15.345,0.898838,3
69.9219,74.4657,2
89.4607,14.3018,6
18.3838,1.63596,3
32.8004,9.82618,7
61.3871,61.3841,5
60.9673,83.5578,0
67.4314,37.7017,5
48.3432,47.2615,5
87.3655,57.94,9
55.8483,23.3188,1
29.387,2.5545,7
71.7027,91.4839,2
90.299,50.9283,9
58.4898,41.3621,5
18.6379,73.8348,8
42.2609,88.5598,0
48.3005,31.7216,7
2.86154,66.6842,4
33.3576,35.662,7
76.5104,94.7446,2
97.046,37.4777,9
78.3024,64.4774,9
75.1794,26.6456,6
11.7389,62.5449,4
84.5857,67.5872,9
85.8637,13.9727,6
70.1417,57.5664,9
5.45655,60.4407,4
8.49471,63.9464,4
1.80284,27.1326,3
37.7812,44.0638,5
15.6924,86.0817,8
75.7854,18.5539,6
52.7659,9.14296,1
54.2159,29.2763,1
3.8876,51.262,4
66.754,82.19,2
15.7394,41.9335,4
8.83569,27.4783,3
4.47834,93.4214,8
95.0655,90.342,2
7.39403,65.2072,4
47.9084,12.8506,7
25.6479,56.4031,4
76.7969,27.4508,6
83.5357,14.5781,6
71.5145,99.2281,2
0.659769,47.2999,4
17.782,53.4257,4
56.4429,71.9979,0
82.702,60.3305,9
23.2599,49.456,4
42.5205,38.9993,5
91.3895,51.3562,9
66.4775,95.8678,2
44.7776,61.543,5
86.2099,52.1716,9
26.7502,34.1183,7
65.0222,52.3981,5
90.5214,41.8191,9
79.8489,74.0571,2
56.3972,51.3634,5
73.2852,57.057,9
98.6633,91.0673,2
10.4827,55.1062,4
63.0652,93.1847,0
15.4367,86.3251,8
42.6407,57.9573,5
25.3244,34.0302,7
9.31348,91.8019,8
29.8981,54.0911,4
53.3449,16.108,1
6.26267,80.0951,8
50.2263,71.2849,0
32.4932,40.7477,4
13.104,12.342,3
14.8048,69.5012,8
63.7054,88.0901,2
26.5582,62.3688,4
79.1573,37.0409,9
17.475,42.2225,4
30.2256,32.9117,7
28.5476,72.8663,8
90.869,53.872,9
6.8965,0.182457,3
45.6739,36.7946,5
54.2735,99.0187,0
52.9025,60.5362,5
79.1138,3.12878,6
31.821,11.607,7
43.8765,44.925,5
23.949,58.6813,4
14.4262,87.6545,8
46.7714,40.9844,5
50.0232,25.9287,7
78.0253,67.4982,2
68.1512,8.25086,1
0.409967,96.6988,8
81.1171,91.2789,2
50.5708,88.0136,0
91.4614,96.2446,2
24.8082,45.7349,4
95.2634,77.7107,2
6.2711,74.3772,8
80.8395,38.0921,9
85.9842,24.716,6
83.0171,9.93319,6
83.3973,97.4433,2
97.5876,30.1686,6
38.4278,47.6109,5
56.0973,16.4531,1
15.1091,24.2485,3
24.7039,15.5191,3
20.9473,5.82107,3
6.79804,71.5181,8
93.8347,98.2594,2
67.7627,18.6429,1
43.9944,63.0261,5
96.3536,50.2655,9
37.4033,77.1932,0
88.3576,23.3875,6
1.90914,71.3747,8
33.3206,85.3064,0
68.8181,30.9083,1
15.475,7.24582,3
78.5192,71.5723,2
23.6989,93.6283,8
95.8208,48.4028,9
9.14739,16.7681,3
54.2239,15.9454,1
88.2862,48.0586,9
14.2049,56.0489,4
66.7015,58.1992,5
19.075,63.0552,4
8.46467,56.4783,4
40.2483,96.8222,0
79.8658,42.1574,9
68.197,13.1864,1
27.4638,37.015,4
44.0947,42.9389,5
44.2608,22.6139,7
14.5112,67.9597,4
16.2422,10.332,3
16.3625,25.3896,3
27.1001,70.5864,8
41.335,15.3863,7
18.645,55.5399,4
71.4353,85.3466,2
13.7391,90.5103,8
48.4017,22.2038,7
46.9886,88.65,0
19.026,26.8544,3
30.8075,87.223,0
40.0408,58.2713,5
24.238,84.1355,8
1.21018,68.4988,8
6.74939,15.7214,3
36.4586,22.9916,7
26.0534,52.8211,4
48.3812,53.1535,5
23.4075,89.7162,8
68.5399,42.0526,9
45.2561,39.9751,5
27.3992,58.9952,4
30.4854,75.8009,0
81.199,77.474,2
64.4509,0.225013,1
4.3284,95.2584,8
87.448,44.3692,9
53.5297,11.686,1
28.5047,54.7398,4
80.1848,35.2541,9
70.4612,16.6434,1
58.2457,96.5146,0
69.4645,6.62685,1
49.6682,92.872,0
96.343,18.208,6
34.9246,41.5991,5
58.1832,62.3238,5
0.59433,88.6686,8
38.1247,81.7933,0
66.1427,2.57556,1
82.0183,70.4711,2
97.8339,69.4663,2
14.8402,51.3636,4
81.1523,43.3449,9
6.10342,61.3372,4
78.599,76.5647,2
77.9806,36.8447,9
73.0793,47.445,9
43.4715,22.7474,7
40.3171,39.8146,5
40.9555,75.2417,0
81.4137,99.1387,2
37.5655,82.008,0
87.8073,75.6902,2
63.8014,53.95,5
78.2658,45.8197,9
24.421,76.0997,8
15.286,39.2613,4
27.4632,96.4383,8
82.6062,33.5667,6
57.7755,61.2052,5
10.1313,35.7561,4
98.0499,83.2106,2
83.2011,41.5214,9
5.95804,23.5182,3
81.336,46.9135,9
98.7599,62.7497,9
46.0522,36.3254,5
44.7578,33.8595,7
12.0156,8.55913,3
87.8094,90.2814,2
54.3788,12.2305,1
66.3811,69.6648,2
51.4917,93.8443,0
66.1031,34.0979,1
27.411,23.8787,7
95.3032,37.5423,9
59.6347,93.3531,0
20.7529,42.8358,4
34.8745,26.7109,7
66.354,16.2105,1
73.6244,65.1139,9
78.9603,19.6766,6
1.43939,23.718,3
53.5361,13.455,1
32.2772,41.3455,4
3.73642,86.656,8
53.576,70.1175,0
56.3208,5.06773,1
63.9618,22.4239,1
39.1657,91.3727,0
46.3026,34.4688,7
28.915,5.9373,7
27.8219,49.6679,4
48.7731,62.6964,5
76.3788,15.1271,6
78.9069,50.0033,9
80.2411,57.8672,9
69.6799,81.6805,2
81.5852,23.216,6
95.1355,13.8624,6
64.5616,98.8719,2
0.518362,18.1376,3
68.9894,56.8391,9
23.2053,32.9512,7
79.2631,62.371,9
24.3239,25.5657,7
96.8398,53.2389,9
31.503,24.6616,7
2.90687,80.2761,8
87.358,79.2857,2
95.4032,66.2649,9
29.289,75.6443,8
24.1321,98.9689,8
57.3248,5.71731,1
22.1849,52.4603,4
19.5797,86.7465,8
51.3322,20.0981,1
4.88402,20.3216,3
76.9372,28.0893,6
53.2728,56.2003,5
90.4603,77.5967,2
81.766,87.3,2
30.8356,13.2689,7
11.9617,33.7425,3
93.545,99.3197,2
13.0282,88.9483,8
65.5846,42.3172,5
64.5926,89.7167,2
41.2861,21.9173,7
95.434,63.471,9
74.3776,15.0137,1
50.2174,25.7098,7
35.1118,55.1014,5
46.0314,12.049,7
83.1907,99.3042,2
68.2493,73.651,2
76.9008,50.0152,9
60.951,7.73645,1
63.2842,72.9127,0
41.4789,56.8292,5
72.2324,54.5071,9
45.7775,37.817,5
96.8243,10.37,6
27.5337,38.1104,4
32.2874,22.9678,7
1.58132,6.66497,3
37.9815,51.7987,5
32.3748,73.0933,0
6.90014,78.4062,8
85.1422,90.0909,2
77.7103,53.3915,9
63.7419,54.6112,5
3.40676,24.6929,3
62.3476,66.6909,5
97.6056,3.82653,6
23.5202,69.8381,8
58.3337,69.2976,0
7.65508,55.158,4
79.6676,35.1888,9
93.2683,11.955,6
58.1566,94.8497,0
18.62,96.138,8
46.6484,50.9947,5
69.2313,53.5485,9
29.4009,54.3735,4
43.6394,7.11125,7
7.76506,7.38129,3
61.7224,11.1718,1
32.0742,24.07,7
77.8628,29.6799,6
27.8965,1.38291,7
99.5179,86.2302,2
70.6805,7.17301,1
41.3882,50.3482,5
42.3618,34.6565,7
62.3031,0.518396,1
29.5062,80.9231,8
96.6564,76.1546,2
31.9178,65.8877,4
29.7031,61.3188,4
20.2613,73.3425,8
68.43,28.0263,1
80.7238,30.1524,6
39.1982,12.798,7
54.2224,17.0609,1
42.4779,82.119,0
18.4438,41.9958,4
68.3492,89.1244,2
49.1688,9.73733,1
39.4725,91.5307,0
44.3938,1.77565,7
92.049,73.9,2
82.6988,88.7055,2
50.0546,14.6166,1
54.5932,79.7577,0
75.9354,74.8545,2
53.1002,44.3654,5
2.88085,33.8239,3
74.5178,42.079,9
46.6219,28.7402,7
59.1399,89.0998,0
10.8592,77.5838,8
31.0956,79.2083,0
66.7081,80.2645,2
88.9457,6.18064,6
71.7951,33.3395,1
7.9563,63.8442,4
7.23953,90.6551,8
52.5497,57.2941,5
5.27165,7.14289,3
37.0518,81.207,0
81.9974,90.1519,2
25.5724,84.8783,8
23.9758,0.0901946,3
26.9573,70.5978,8
28.8304,86.0972,8
59.6976,39.6896,5
63.681,90.7933,2
18.8979,30.3891,3
71.0577,7.84359,1
36.5697,42.8529,5
41.1831,44.526,5
6.69702,48.4226,4
35.1811,59.2467,5
5.71673,40.4527,4
66.3896,42.7685,5
21.6598,48.387,4
32.9204,47.2322,4
33.2652,56.8963,4
47.3224,60.2225,5
27.494,76.1528,8
46.3197,87.1917,0
15.8424,10.0007,3
77.9849,34.7403,9
40.3898,49.0427,5
42.5839,76.9595,0
91.8955,83.767,2
21.4856,98.5925,8
32.1896,56.6666,4
57.8392,37.9063,5
97.1194,24.2288,6
80.6748,18.7792,6
72.6157,13.5952,1
66.0113,5.88096,1
70.4915,13.3337,1
66.1035,97.9855,2
89.4865,12.4231,6
85.1772,5.32881,6
22.4238,63.1621,4
40.0691,62.8136,5
12.2048,82.653,8
39.7731,4.10028,7
66.42,61.2586,5
2.69281,98.6096,8
17.9253,60.532,4
36.5159,15.0447,7
84.7608,17.1907,6
33.8238,57.3765,4
30.7859,99.8352,8
63.2575,1.27738,1
13.1689,29.3609,3
99.2629,2.65531,6
41.7841,84.4401,0
7.98412,64.2079,4
47.6022,48.0532,5
27.0215,59.807,4
30.7062,66.7945,4
63.9072,97.1262,2
28.0532,66.6,4
95.7357,45.9785,9
27.1321,32.2516,7
61.0231,11.8929,1
49.4423,94.847,0
69.2694,80.2282,2
94.6822,32.5269,6
81.5056,7.85102,6
61.8878,80.7685,0
10.5063,3.67188,3
65.2085,18.4905,1
67.8798,12.8107,1
66.5437,94.9012,2
72.6177,97.2499,2
61.6958,36.5249,5
94.376,89.749,2
3.12497,90.1118,8
35.7274,30.257,7
22.3633,96.7506,8
42.1499,71.8056,0
91.5976,11.4193,6
52.0338,86.2797,0
43.9461,33.5394,7
94.1308,5.83392,6
14.3079,4.63709,3
9.50581,79.5164,8
23.1276,77.3856,8
92.3272,89.6712,2
72.2868,64.9448,9
86.9211,33.9826,6
1.46976,81.2972,8
23.7316,4.59473,3
71.4089,59.459,9
34.8518,93.7723,0
56.2096,77.0017,0
65.5779,47.8071,5
88.4209,17.6117,6
34.0869,32.367,7
51.1512,28.2176,7
38.201,65.459,0
32.8547,47.7068,4
44.9755,55.9823,5
25.0924,37.3026,4
45.6535,97.3792,0
2.24749,32.5746,3
31.3618,3.71725,7
13.8718,55.0934,4
8.31198,85.2807,8
14.5523,43.1637,4
79.053,70.7619,2
20.1654,44.6309,4
18.569,8.58631,3
62.2427,52.6559,5
40.9534,13.3938,7
80.8735,79.1543,2
78.8529,13.7282,6
26.8611,23.8283,7
69.7105,51.9534,9
61.131,15.364,1
49.3326,63.3785,5
47.9387,80.6944,0
67.0957,61.8105,5
35.7878,75.4077,0
47.0912,50.3401,5
18.5714,26.1442,3
21.102,38.7368,4
70.7751,39.6711,9
47.3232,33.0178,7
92.327,88.2765,2
46.4116,73.2005,0
67.4308,25.2645,1
86.9287,94.2919,2
49.0928,56.6392,5
46.2454,10.2238,7
72.0033,95.578,2
73.6023,19.9419,1
76.2724,40.698,9
81.7524,12.0602,6
16.1057,28.8436,3
62.4003,34.6771,1
54.9878,83.5023,0
73.414,25.763,1
23.1734,20.7371,3
58.7808,15.5003,1
9.01364,5.19242,3
88.7008,76.4445,2
30.4569,75.6295,0
